,MachineID,OperatingTemperature,VibrationLevel,CycleCount,AmbientTemperature,OperatingHours,FailureProbability,FailureStatus
0,M3,77.73266308584698,0.6891697994611647,7238,30.230307759705195,13,0.6107235009768021,0
1,M4,108.6536365561552,0.759652438796599,1671,18.511729574466305,15,0.7990171512139043,1
2,M1,88.33413381014908,0.567402465248391,8603,38.28778453885506,4,0.529596771680945,0
3,M3,57.71804082142636,0.2477153267118936,3075,32.75876494673872,16,0.2459818132173062,0
4,M3,51.37949308310234,0.56855162491919,4016,23.599941238735266,12,0.340816430442665,0
5,M4,78.23328846608617,0.408891172496037,6848,25.06366877803716,4,0.3848054730844809,0
6,M1,42.32392467741308,0.6471265370720769,8400,16.849758312293474,3,0.5248684483545176,0
7,M1,105.38188267205692,0.5197901411901874,6997,27.535950274170546,22,0.6366579522441904,1
8,M3,93.29470394062012,0.4560204801238031,9352,19.980085125499368,17,0.5017857102738685,0
9,M2,60.88732347373986,0.5439009208004829,6078,19.46156090862376,22,0.3596649008456312,0
10,M3,36.17078224982482,0.368116380512303,6130,19.995594044646705,18,0.072950578094285,0
11,M3,96.56888523003256,0.346797990804486,7414,22.633550705031404,18,0.4579226443391992,0
12,M3,67.22521597866677,0.591211301957294,4753,18.498099232789585,23,0.5253338016252636,0
13,M3,94.8799877346205,0.3974126442866096,8457,21.96120472049412,17,0.4757606441602878,0
14,M4,36.61543226696323,0.3094847428945837,1963,17.572787548578674,12,0.0915589873732796,0
15,M1,58.97194007300763,0.4850830430550344,6680,26.194469187195743,23,0.3967145503096035,0
16,M4,71.39025927337792,0.6080169819720399,3987,17.33970098919362,21,0.5344279321622284,0
17,M4,70.3140312376068,0.6430830348318707,3284,18.877798604871057,4,0.4706764121145653,0
18,M4,60.60025441106635,0.572826914595642,4119,27.66525346461273,12,0.4670389856084549,0
19,M3,83.70031087179514,0.3864489524054144,3556,25.782834066141955,23,0.3837524457609709,0
20,M2,48.52453982135821,0.2987545929921743,3398,30.899336123323025,22,0.1277106359118699,0
21,M1,67.74065574552576,0.6516601899453162,2774,31.09848147471771,21,0.5664867727146531,0
22,M2,72.31360724043721,0.5266949828462927,4290,38.282742165846834,20,0.3815600668918108,0
23,M4,81.84508406965526,0.5750508366749248,9100,23.58713007705395,15,0.4334645396476332,0
24,M4,84.72237719002929,0.6470893830209902,5155,16.42966833611673,23,0.6400157223448594,1
25,M2,48.0548139351618,0.5626226880718878,6577,27.191566932668444,16,0.3367214042807497,0
26,M2,39.88402312402114,0.5184151218454837,3474,20.533387947120964,5,0.2668142453237344,0
27,M2,94.99842270164248,0.6976719034155578,3897,19.15635135737082,21,0.8402796191496033,1
28,M4,76.18304110266929,0.4671069315145209,8040,25.095422673222533,15,0.372864005779873,0
29,M4,55.7995149084289,0.5770402462049697,3515,32.63426157668171,17,0.4205295918193321,0
30,M1,101.14945233988408,0.4975871901313377,8017,22.22795740227584,18,0.5872124574854947,0
31,M1,71.1358816780454,0.5255918641488044,4561,32.989581241214296,5,0.4445703080450572,0
32,M4,95.45904810590132,0.6233054370958794,3971,23.267638878602416,13,0.7267095777246187,1
33,M2,72.32844149549928,0.5470346126750848,9555,25.585549813523333,19,0.4695312071190488,0
34,M2,111.25258482148476,0.4528593014654232,2613,24.668728188634265,13,0.6983092951802646,1
35,M1,104.83331586706412,0.6346925278819033,3347,24.835268684861976,18,0.7283760094843965,1
36,M4,65.2193928879486,0.5810933189943142,10166,18.148498019537836,14,0.3261310380361124,0
37,M1,89.94893911824454,0.388476852507946,3581,30.94076716433021,4,0.4194118999134031,0
38,M1,80.8745182560329,0.4142109378479801,5140,21.491794550634097,4,0.3587555166056472,0
39,M3,99.48498086013274,0.3459431570747091,6953,29.817155658971966,20,0.3842413658626287,0
40,M3,49.91164647923099,0.7696314766299053,9579,18.6387998822664,20,0.5741006059112986,0
41,M3,83.71912356698003,0.3764630889908227,6125,17.576640337021043,19,0.3576685488391894,0
42,M2,91.2033566197709,0.3877087749569868,1401,27.85289975710647,13,0.4835222245697968,0
43,M4,36.82206049022656,0.4856802675535461,8103,28.10998610150868,12,0.1785936307985949,0
44,M4,46.24670590567781,0.5371721043136314,8294,20.99543108773093,7,0.3018311722603459,0
45,M4,30.80386373915162,0.5642904025201295,1582,25.152050903901657,12,0.2492203731188927,0
46,M4,65.01859078056997,0.5793717426917575,3031,21.736573242247594,21,0.454432879044837,0
47,M3,83.3889602537133,0.4488762783939927,9308,25.81887371317476,4,0.4238878647100004,0
48,M2,100.18184851002336,0.5013759282265513,3610,26.79715625132578,2,0.5492943305849143,0
49,M2,71.36338688668059,0.5442484805608259,8367,20.673056100938485,2,0.4400232794946788,0
50,M3,101.4882404265216,0.4642466044065888,8436,21.922430486917733,5,0.5658981477139774,0
51,M2,42.75569360517441,0.6799484993512969,10197,24.03118659325248,23,0.4616024041183549,0
52,M3,35.95445396274676,0.5348459527500821,6991,22.69132631239982,10,0.2662368228006358,0
53,M4,69.44546772752616,0.6055890536817478,5968,21.66019982100136,10,0.4745935654384067,0
54,M3,77.87466175838446,0.5349159850929162,679,22.555057562951205,9,0.4921069203847317,0
55,M4,68.69500214110407,0.6210002953560106,2038,24.33347697677945,13,0.5289323775364397,0
56,M4,29.419491991492784,0.4369152267645091,3228,27.086169600392843,7,0.1808134055661009,0
57,M1,67.59320092949066,0.3518212817315579,4140,15.702355688319038,5,0.2452325080413396,0
58,M3,40.81093946711967,0.5683432312317631,1921,22.12509321582773,10,0.2842744631268939,0
59,M1,83.522103924555,0.3831775672854136,7885,35.68989783456804,10,0.4190450287287043,0
60,M3,76.77789119470297,0.4311333080075201,2130,26.31707078877608,6,0.3649595996811935,0
61,M3,51.584534777849534,0.4383829243799989,8391,30.761968231833325,19,0.3719360216644,0
62,M1,61.721533389205845,0.5554246017167641,5378,35.70944580709619,21,0.5023688741613493,0
63,M1,50.84346925536902,0.446803429867911,3668,21.657285325118178,8,0.2657564126209998,0
64,M3,68.58129513231472,0.5359708537984783,9074,24.586469666265312,1,0.4313060646526395,0
65,M2,88.27633123877871,0.6868919450831595,9278,35.8183937718571,17,0.753609417342231,1
66,M4,50.87016235520704,0.5212725396518471,4107,24.41646621944116,7,0.3053250348358782,0
67,M1,79.71070471849053,0.7410386422736707,2228,22.221166769521417,14,0.8217742889422492,1
68,M4,59.78662415489813,0.5375958771457171,5119,15.9606500562015,21,0.3915954985459907,0
69,M2,53.48168259252626,0.3597260115364429,3942,22.36642068867473,21,0.1273770996577223,0
70,M2,68.11008521693161,0.5859751544546059,5429,27.984187091560795,17,0.4732898129355996,0
71,M2,48.48317939931904,0.5214185586730097,9601,33.68540099751807,9,0.343406459079558,0
72,M1,60.11126730908782,0.6936402501703375,9283,25.52735363174957,17,0.50228245262457,0
73,M2,45.45246445747042,0.6648168871768009,2593,16.945855694535414,5,0.3165386763153056,0
74,M1,109.95560519406276,0.4238672790899391,5810,15.86298160344999,20,0.6134615491614439,0
75,M2,69.44050375624906,0.403695679881589,5366,28.419180038355822,8,0.2780166799756819,0
76,M4,56.78666369675898,0.6335921546557167,5938,30.19286482702361,6,0.2998684080112513,0
77,M4,73.31321414541624,0.4289582316315797,6738,27.623473649867115,11,0.3369634262328095,0
78,M3,68.0146158131579,0.4477197868277415,6814,28.584697807933285,19,0.3240572586056372,0
79,M4,66.60380898268352,0.5560711434473803,4953,35.313724209727695,4,0.4435141716685445,0
80,M3,82.08335110231172,0.6914995263096777,3448,22.76093375449429,18,0.677307195779559,1
81,M4,84.12098729020018,0.5772121113097922,5792,26.747693273175567,1,0.53223171556934,0
82,M1,59.88678955492537,0.3181733500880224,5654,20.39484566800723,13,0.2120492995835481,0
83,M4,57.64265378811985,0.5431360854075726,8740,23.81664072681397,14,0.387953580080818,0
84,M3,64.0947204577699,0.5061882554396947,5996,18.90412977602942,1,0.5113196524781086,0
85,M3,24.22703936478403,0.4285558787369867,4814,24.68837933892957,11,0.0790189493210164,0
86,M2,41.05685479213666,0.4414638536416045,2543,26.455353759792853,17,0.1969425767546532,0
87,M1,97.36403870268995,0.5184276984296938,2327,26.40910153373213,4,0.5428657299612815,0
88,M4,102.9222117798708,0.3386911423347247,5328,19.87800865115273,12,0.5096019574117655,0
89,M2,65.75679210249528,0.5392121778614312,1798,25.76404639255329,10,0.4324879172136836,0
90,M4,81.58151115778833,0.5362323976652524,3164,33.793976733826085,6,0.4429866696787887,0
91,M4,76.86053329070363,0.5081365868184903,2484,28.75271964669795,1,0.4750447575722024,0
92,M2,132.65614971516771,0.3160039933488957,2400,30.418410902772305,7,0.6776666543801952,1
93,M2,92.06376107842354,0.4691308276241082,6170,20.96809360943792,21,0.4745163214676843,0
94,M2,64.16663753647121,0.5429116861281453,6737,23.14127038141781,16,0.4662872667314962,0
95,M2,50.07126409440602,0.4534224129871784,8833,20.785645472123942,14,0.2519969317596165,0
96,M2,39.07975560568386,0.6362029058002109,2992,21.4712114896567,23,0.4353701646211078,0
97,M4,74.03550793594681,0.5587562186625412,1864,29.62911857006548,20,0.3601871701920238,0
98,M2,54.53385482338604,0.4445648357825129,2134,20.106392284103546,20,0.3107390236010601,0
99,M1,42.72171080124973,0.7349338637820226,1805,33.883593101196844,6,0.3407174808493807,0
100,M3,56.96721739891957,0.3386316001691292,2545,29.02162798017905,22,0.1687785509082011,0
101,M2,46.27650672196295,0.3330914476128291,10921,30.867805697607608,5,0.1153628275629495,0
102,M2,102.23753064044296,0.3186945476627663,1634,26.33129910861849,21,0.4304881720591739,0
